id,territorial,fecha_acc,dia_semana_acc,condic_meteor,estado_super,terreno,geometria_acc,tipo_cierre,n_heridos,n_muertos,clase_accidente,hora_acc
3138,Norte de Santander,2018-01-12,viernes,Seca,Seca y limpia,Plano,Curva Izquierda,Transito normal con precaución,1,0,Choque,100.0
3139,Norte de Santander,2018-01-19,viernes,Niebla,Humeda,Plano,Recta,Transito normal con precaución,1,0,Volcamiento,100.0
3140,Norte de Santander,2018-03-07,miercoles,Normal,Aceite,Montañoso,Curva Izquierda,Transito normal con precaución,2,0,Volcamiento,100.0
3141,Norte de Santander,2018-03-07,miercoles,Normal,Aceite,Montañoso,Curva Izquierda,Transito normal con precaución,2,0,Volcamiento,100.0
3142,Santander,2018-03-24,sabado,Normal,Seca y limpia,Montañoso,Curva Derecha,Transito normal con precaución,0,0,Salida de la vía sin volcarse,100.0
3143,Santander,2018-03-21,miercoles,Normal,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
3144,Santander,2018-03-03,sabado,Normal,Humeda,Escarpado,Recta,Transito normal con precaución,1,0,Caída ocupante,100.0
3145,Santander,2017-02-13,lunes,Lluvia,Material suelto,Montañoso,Curva Izquierda,Transito normal con precaución,0,0,Caída ocupante,100.0
3146,Santander,2017-03-01,miercoles,Sol,Seca y limpia,Ondulado,Recta,Transito normal con precaución,1,0,Choque,100.0
3147,Santander,2017-03-06,lunes,Sol,Seca y limpia,Plano,Curva Izquierda,Transito normal con precaución,1,0,Atropello,100.0
3148,Santander,2017-03-16,jueves,Sol,Seca y limpia,Plano,Recta,Parcial con reducción de carriles,0,1,Choque,100.0
3149,Santander,2017-03-25,sabado,Lluvia,Seca y limpia,Plano,Recta,Transito normal con precaución,1,0,Volcamiento,100.0
3150,Santander,2017-04-21,viernes,Seca,Seca y limpia,Ondulado,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
